poll_id,pollster_id,pollster,sponsor_ids,sponsors,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,display_name,mode,state,start_date,end_date,internal,partisan,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,updated_at,notes,url,url_article,url_topline,url_crosstab,race_id,cycle,office_type,seat_name,election_date,stage,dem,rep
89437,1347,Cygnal,NA,NA,NA,NA,NA,Cygnal,NA,NA,2024-12-09T00:00:00Z,2024-12-11T00:00:00Z,FALSE,NA,217076,1500,lv,NA,lv,FALSE,2025-04-28 20:12:55 UTC,2025-04-28 20:12:55 UTC,NA,https://www.cygn.al/poll-musk-most-effective-trump-surrogate-as-voters-rally-behind-doge-deportations-and-congressional-republicans/,https://www.cygn.al/poll-musk-most-effective-trump-surrogate-as-voters-rally-behind-doge-deportations-and-congressional-republicans/,NA,https://www.cygn.al/wp-content/uploads/2024/12/Cygnal-National-NVT-Dec24-Deck-Public.pdf,16444,2026,U.S. House,Generic Ballot,2026-11-03T00:00:00Z,general,44.6,48.4
89445,294,McLaughlin,NA,NA,NA,NA,NA,McLaughlin & Associates,Online Opt-In Panel,NA,2024-12-11T00:00:00Z,2024-12-16T00:00:00Z,FALSE,NA,217185,1000,lv,NA,lv,FALSE,2025-04-28 20:12:49 UTC,2025-04-28 20:12:49 UTC,NA,https://mclaughlinonline.com/2024/12/18/ma-poll-national-monthly-december-2024/,https://mclaughlinonline.com/2024/12/18/ma-poll-national-monthly-december-2024/,NA,https://mclaughlinonline.com/pols/wp-content/uploads/2024/12/National-December-Presentation-RELEASE-12-17-24.pdf,16444,2026,U.S. House,Generic Ballot,2026-11-03T00:00:00Z,general,42,47
89491,1347,Cygnal,NA,NA,NA,NA,NA,Cygnal,NA,NA,2025-01-09T00:00:00Z,2025-01-12T00:00:00Z,FALSE,NA,217594,1500,lv,NA,lv,FALSE,2025-04-28 20:12:56 UTC,2025-04-28 20:12:56 UTC,NA,https://www.cygn.al/voters-back-kingmaker-trumps-policies-on-economy-energy-and-health/,https://www.cygn.al/voters-back-kingmaker-trumps-policies-on-economy-energy-and-health/,NA,https://www.cygn.al/wp-content/uploads/2025/01/22827-Cygnal-National-NVT-Jan25-Deck.pdf,16444,2026,U.S. House,Generic Ballot,2026-11-03T00:00:00Z,general,44.6,46.8
89497,1554,RMG Research,2178,Napolitan Institute,NA,NA,NA,RMG Research,Online Opt-In Panel,NA,2025-01-15T00:00:00Z,2025-01-16T00:00:00Z,FALSE,NA,217652,1000,rv,NA,rv,FALSE,2025-04-28 20:12:56 UTC,2025-04-28 20:12:56 UTC,NA,https://napolitannews.org/posts/generic-ballot-gop-51-percent-dem-44,https://napolitannews.org/posts/generic-ballot-gop-51-percent-dem-44,NA,NA,16444,2026,U.S. House,Generic Ballot,2026-11-03T00:00:00Z,general,44,51
89511,1895,Quantus Insights,2184,TrendingPolitics,NA,NA,NA,Quantus Insights,Online Opt-In Panel,NA,2025-01-22T00:00:00Z,2025-01-23T00:00:00Z,FALSE,REP,217817,1000,rv,NA,rv,FALSE,2025-04-28 19:55:38 UTC,2025-04-28 19:55:38 UTC,NA,https://quantusinsights.org/f/trump%E2%80%99s-second-term-begins-what-voters-think,https://quantusinsights.org/f/trump%E2%80%99s-second-term-begins-what-voters-think,NA,https://drive.google.com/file/d/1d1e9IDGzoiE2SXuhKUJju0g4jNfHm_yK/view,16444,2026,U.S. House,Generic Ballot,2026-11-03T00:00:00Z,general,45,48
89530,294,McLaughlin,NA,NA,NA,NA,NA,McLaughlin & Associates,Online Opt-In Panel,NA,2025-01-22T00:00:00Z,2025-01-27T00:00:00Z,FALSE,NA,217902,1000,lv,NA,lv,FALSE,2025-04-28 19:56:37 UTC,2025-04-28 19:56:37 UTC,NA,https://mclaughlinonline.com/pols/wp-content/uploads/2025/01/National-January-Presentation-RELEASE-01-28-25.pdf,NA,NA,https://mclaughlinonline.com/pols/wp-content/uploads/2025/01/National-January-Presentation-RELEASE-01-28-25.pdf,16444,2026,U.S. House,Generic Ballot,2026-11-03T00:00:00Z,general,40,48
89555,1699,Fabrizio/Impact,42,AARP,NA,NA,NA,"Fabrizio, Lee & Associates/Impact Research",Online Opt-In Panel/Text-to-Web,NA,2025-01-27T00:00:00Z,2025-02-01T00:00:00Z,FALSE,NA,218160,3000,rv,NA,rv,FALSE,2025-04-28 19:59:49 UTC,2025-04-28 19:59:49 UTC,NA,https://www.aarp.org/content/dam/aarp/research/topics/voter-opinion-research/politics/federal-tax-package-legislative-priorities.doi.10.26419-2fres.00921.001.pdf,NA,NA,https://www.aarp.org/content/dam/aarp/research/topics/voter-opinion-research/politics/federal-tax-package-legislative-priorities.doi.10.26419-2fres.00921.001.pdf,16444,2026,U.S. House,Generic Ballot,2026-11-03T00:00:00Z,general,43,43
89560,1347,Cygnal,NA,NA,NA,NA,NA,Cygnal,NA,NA,2025-02-04T00:00:00Z,2025-02-05T00:00:00Z,FALSE,NA,218218,1500,lv,NA,lv,FALSE,2025-04-28 19:59:50 UTC,2025-04-28 19:59:50 UTC,NA,https://www.cygn.al/poll-trump-winning-over-black-men-dei-skeptics-and-border-hawks-as-democrats-lose-ground/,https://www.cygn.al/poll-trump-winning-over-black-men-dei-skeptics-and-border-hawks-as-democrats-lose-ground/,NA,https://www.cygn.al/wp-content/uploads/2025/02/22874-Cygnal-National-NVT-Feb25-Deck-Public.pdf,16444,2026,U.S. House,Generic Ballot,2026-11-03T00:00:00Z,general,46.2,47.2
89553,921,Clarity,NA,NA,NA,NA,NA,Clarity Campaign Labs,Online Opt-In Panel,NA,2025-01-31T00:00:00Z,2025-02-06T00:00:00Z,FALSE,NA,218119,1102,rv,NA,rv,FALSE,2025-04-28 19:59:37 UTC,2025-04-28 19:59:37 UTC,NA,https://static1.squarespace.com/static/61ae8d5e55be5c7314b4c83a/t/67aa57a7976e415c4d212706/1739216809584/Clarity+Omnibus+Overview+-+Jan_Feb+2025.pdf,NA,https://static1.squarespace.com/static/61ae8d5e55be5c7314b4c83a/t/67aa57a7976e415c4d212706/1739216809584/Clarity+Omnibus+Overview+-+Jan_Feb+2025.pdf,NA,16444,2026,U.S. House,Generic Ballot,2026-11-03T00:00:00Z,general,45,44
89565,1895,Quantus Insights,2184,TrendingPolitics,NA,NA,NA,Quantus Insights,Online Opt-In Panel,NA,2025-02-10T00:00:00Z,2025-02-12T00:00:00Z,FALSE,REP,218242,1000,rv,NA,rv,FALSE,2025-04-28 19:59:51 UTC,2025-04-28 19:59:51 UTC,NA,https://quantusinsights.org/f/quantus-insights-latest-national-survey---february-13-2025,https://quantusinsights.org/f/quantus-insights-latest-national-survey---february-13-2025,NA,https://drive.google.com/file/d/1-pk16PtnxiN4kD3j8RAfO75MvGBdSK5c/view,16444,2026,U.S. House,Generic Ballot,2026-11-03T00:00:00Z,general,44,48
