id,name,display_name,partisan,first_poll,last_poll,url,notes
1940,Grayhouse,Grayhouse,NA,2025-04-24T00:00:00Z,2025-04-28T00:00:00Z,https://www.grayhouse.com/,NA
1941,Searchlight Research,Searchlight Research,NA,2025-02-23T00:00:00Z,2025-02-23T00:00:00Z,https://searchlightresearchllc.com/,NA
1942,Elon U./YouGov,Elon University/YouGov,NA,2025-03-11T00:00:00Z,2025-03-11T00:00:00Z,https://www.elon.edu/u/elon-poll/,NA
1943,StimSight Research,StimSight Research,NA,2025-05-10T00:00:00Z,2025-05-10T00:00:00Z,https://stimsight.com/,NA
1944,Pantheon Insight/HarrisX,Pantheon Insight/HarrisX,NA,2025-05-13T00:00:00Z,2025-05-13T00:00:00Z,https://www.harrisx.com/,NA
1947,Stratus Intelligence,Stratus Intelligence,NA,2025-06-08T00:00:00Z,2025-06-08T00:00:00Z,NA,NA
1928,U. Texas/YouGov,Texas Politics Project at the University of Texas/YouGov,NA,2008-07-30T00:00:00Z,2025-06-16T00:00:00Z,https://texaspolitics.utexas.edu/,NA
1948,University of California Irvine/Truedot,University of California Irvine School of Social Ecology/Truedot,NA,2025-06-04T00:00:00Z,2025-06-26T00:00:00Z,https://sites.uci.edu/ocpoll/,NA
2,EPIC-MRA/Mitchell,EPIC-MRA/Mitchell,NA,1995-04-24T00:00:00Z,1996-07-17T00:00:00Z,NA,NA
685,Becker Research,Becker Research,NA,1980-09-21T00:00:00Z,1980-10-16T00:00:00Z,NA,NA
69,Behavior Research Center,Behavior Research Center,NA,1984-04-09T00:00:00Z,2016-06-19T00:00:00Z,https://brc-research.com/,NA
688,Behavior Research Institute,Behavior Research Institute,NA,1980-10-03T00:00:00Z,1980-10-03T00:00:00Z,NA,NA
1781,Belden Russonello,Belden Russonello,NA,NA,NA,http://www.brspoll.com/,NA
53,Belden Russonello & Stewart,Belden Russonello & Stewart,NA,1992-02-24T00:00:00Z,2004-10-19T00:00:00Z,http://www.brspoll.com/,NA
875,Bellevue Journal American,Bellevue Journal American,NA,1992-09-28T00:00:00Z,1992-09-28T00:00:00Z,NA,NA
54,Bellwether,Bellwether Research & Consulting,NA,2004-02-15T00:00:00Z,2022-12-17T00:00:00Z,http://www.bellwether-research.com/,NA
1520,Benchmark Research,Benchmark Research,NA,2015-11-15T00:00:00Z,2019-10-21T00:00:00Z,https://www.thestate.com/news/politics-government/election/article236987669.html,NA
1329,Bendixen & Amandi International,Bendixen & Amandi International,NA,2006-09-16T00:00:00Z,2024-07-06T00:00:00Z,http://bendixenandamandi.com/,NA
1827,Bendixen & Amandi/Tarrance,Bendixen & Amandi International/Tarrance Group,NA,2016-03-05T00:00:00Z,2016-03-05T00:00:00Z,https://www.washingtonpost.com/graphics/politics/wapo-univision-florida-poll/,NA
55,Bendixen & Law,Bendixen & Law,NA,1988-05-16T00:00:00Z,1992-10-22T00:00:00Z,NA,NA
57,Benenson,Benenson Strategy Group,NA,2002-08-27T00:00:00Z,2024-07-15T00:00:00Z,https://www.bsgco.com/,NA
1609,Benenson Strategy Group/GS Strategy Group,BSG/GS Strategy Group,NA,2018-09-16T00:00:00Z,2024-09-25T00:00:00Z,https://ac32b1ba-8f5b-411f-91ab-b7ae9a046606.usrfiles.com/ugd/ac32b1_ea3fc74c5d06467da0fd05cdd91dcb8f.pdf,NA
1728,Benenson Strategy Group/Public Opinion Strategies,BSG/Public Opinion Strategies,NA,2021-10-18T00:00:00Z,2021-10-18T00:00:00Z,https://www.bsgco.com/,NA
58,Bennett Petts Blumenthal,Bennett Petts Blumenthal,NA,2002-06-16T00:00:00Z,2010-12-16T00:00:00Z,NA,NA
59,Bergen Record,Bergen Record,NA,1988-05-05T00:00:00Z,1996-08-05T00:00:00Z,NA,NA
835,Beth Schapiro & Associates,Beth Schapiro & Associates,NA,2000-10-09T00:00:00Z,2000-10-09T00:00:00Z,NA,NA
1873,Big Data Poll,Big Data Poll,NA,2023-07-12T00:00:00Z,2025-05-05T00:00:00Z,https://www.bigdatapoll.com/,NA
777,Big Ten,Big Ten,NA,2008-09-17T00:00:00Z,2008-10-22T00:00:00Z,http://www.bigtenpoll.org/,NA
1709,Big Village,Big Village,NA,2022-01-14T00:00:00Z,2024-10-23T00:00:00Z,https://big-village.com/,NA
924,Bill Johnson,Bill Johnson,NA,1992-11-18T00:00:00Z,1992-11-18T00:00:00Z,NA,NA
876,Bill Schreiber,Bill Schreiber,NA,1991-12-10T00:00:00Z,1991-12-10T00:00:00Z,NA,NA
60,Birmingham News,Birmingham News,NA,1984-11-03T00:00:00Z,2006-09-07T00:00:00Z,NA,NA
61,Birmingham Post-Herald,Birmingham Post-Herald,NA,1980-09-16T00:00:00Z,1992-10-14T00:00:00Z,NA,NA
649,Blake & Dickinson,Blake & Dickinson,NA,1979-11-16T00:00:00Z,1984-01-19T00:00:00Z,NA,NA
1452,Blink Insights,Blink Insights,NA,2018-08-04T00:00:00Z,2018-08-04T00:00:00Z,http://www.blink-insights.com/,NA
1638,Bluegrass Community and Technical College,Bluegrass Community and Technical College,NA,2020-10-28T00:00:00Z,2020-10-28T00:00:00Z,https://bluegrass.kctcs.edu/news/bctc-political-science-students-poll-local-voters.aspx,NA
1592,Bluegrass Data Analytics,Bluegrass Data,NA,2020-04-12T00:00:00Z,2020-07-29T00:00:00Z,https://bluegrassdataanalytics.com/,NA
1702,Blueprint Polling,Blueprint Polling,NA,2022-02-04T00:00:00Z,2025-03-14T00:00:00Z,https://blueprintpolling.com/,NA
63,Blum & Weprin,Blum & Weprin Associates,NA,1988-05-28T00:00:00Z,2010-10-27T00:00:00Z,NA,NA
1484,Blumenthal Research Daily,Blumenthal Research Daily,NA,2018-03-01T00:00:00Z,2018-04-16T00:00:00Z,https://blumenthalresearchdaily.weebly.com/,NA
1454,Bold Blue Campaigns,Bold Blue Campaigns,NA,2018-09-27T00:00:00Z,2019-02-11T00:00:00Z,https://www.boldbluecampaigns.com/,NA
1687,Bold Decision,Bold Decision,NA,2021-07-29T00:00:00Z,2022-10-20T00:00:00Z,https://www.bold-decision.com/bold-decision,NA
64,Boston Globe,Boston Globe,NA,1976-10-10T00:00:00Z,2006-03-08T00:00:00Z,NA,NA
641,Boston Globe/Becker Research,Becker Research,NA,1971-05-08T00:00:00Z,1972-11-04T00:00:00Z,https://www.bostonglobe.com/,NA
640,Boston Globe/Research Analysis,Boston Globe/Research Analysis,NA,1979-05-16T00:00:00Z,1980-10-26T00:00:00Z,NA,NA
65,Boston Herald,Boston Herald,NA,1984-10-28T00:00:00Z,1996-08-20T00:00:00Z,NA,NA
66,Bowdoin College,Bowdoin College,NA,1995-09-29T00:00:00Z,1995-09-29T00:00:00Z,NA,NA
1898,Bowling Green State University/YouGov,Bowling Green State University Democracy and Public Policy Research Network/YouGov,NA,2024-09-27T00:00:00Z,2025-04-24T00:00:00Z,https://www.bgsu.edu/arts-and-sciences/democracy-and-public-policy-research-network/bgsu-poll.html,NA
877,Boxer,Boxer,NA,1992-10-29T00:00:00Z,1992-10-29T00:00:00Z,NA,NA
67,Braun,Braun Research,NA,2008-04-01T00:00:00Z,2020-09-15T00:00:00Z,https://www.braunresearch.com/,NA
1628,Breakthrough Campaigns,Breakthrough Campaigns,NA,2020-10-06T00:00:00Z,2024-11-26T00:00:00Z,https://www.breakthroughcampaigns.com/,NA
1803,Breakthrough Research,Breakthrough Research,NA,NA,NA,https://sachsmedia.com/breakthrough-research-services-karen-cyphers/,NA
1749,Brigham Young Center for the Study of Elections and Democracy,Brigham Young University Center for the Study of Elections and Democracy,NA,2014-10-22T00:00:00Z,2022-08-15T00:00:00Z,https://csed.byu.edu/,NA
